Date,Open,High,Low,Close,Adj Close,Volume
2015-01-05,54.02,56.77,53.58,56.37,46.86,63231040
2015-01-06,56.0,58.45,55.83,58.28,48.45,70269700
2015-01-08,59.0,67.77,58.61,65.7,54.61,187598890
2015-01-09,65.7,66.88,62.25,63.1,52.45,107559890
2015-01-12,62.2,63.84,61.66,62.9,52.29,99437131
2015-01-13,62.31,62.98,59.25,60.31,50.13,190655450
2015-01-14,59.6,61.2,59.6,60.05,49.92,134066670
2015-01-15,61.19,62.68,60.71,61.8,51.37,180005110
2015-01-16,61.8,62.43,60.41,61.99,51.53,143117080
2015-01-19,61.59,63.67,61.55,61.8,51.37,124918310
2015-01-20,61.82,62.25,60.27,60.8,50.54,120109490
2015-01-21,61.08,63.2,60.95,62.8,52.2,106804766
2015-01-22,63.06,64.88,62.42,64.35,53.49,173344710
2015-01-23,64.99,66.72,63.9,64.45,53.58,163440260
2015-01-26,63.79,63.88,60.17,60.49,50.28,154035210
2015-01-27,58.2,61.44,57.2,61.2,50.87,188572120
2015-01-28,61.81,62.58,60.31,60.63,50.4,139315670
2015-01-29,60.4,62.0,59.6,60.5,50.29,150527510
2015-01-30,61.25,61.5,59.67,61.5,51.12,194980610
2015-02-02,62.0,62.57,60.03,61.4,51.04,195554010
2015-02-03,62.0,62.85,60.83,62.0,51.54,140880980
2015-02-04,62.5,62.69,60.87,61.04,50.74,83495280
2015-02-05,60.6,62.48,59.9,62.41,51.88,173331680
2015-02-06,62.8,64.88,62.45,64.31,53.46,180698040
2015-02-09,64.31,67.4,63.85,65.57,54.51,224135470
2015-02-10,65.48,66.43,64.47,65.0,54.03,121431950
2015-02-11,66.11,66.46,65.08,65.12,54.13,142445360
2015-02-12,66.08,69.47,64.55,67.21,55.87,403090230
2015-02-13,68.0,70.75,68.0,70.6,58.69,375773430
2015-02-16,70.77,71.9,69.67,70.0,58.19,131054210
2015-02-17,70.25,73.96,69.72,72.45,60.23,243539660
2015-02-18,73.38,76.84,72.83,76.4,63.51,237863380
2015-02-19,76.0,76.56,72.8,73.78,61.33,238749450
2015-02-20,74.44,75.45,73.52,74.75,62.14,177829380
2015-02-24,72.0,73.87,71.76,73.7,61.26,117265120
2015-02-25,73.8,74.6,72.9,74.2,61.68,122723583
2015-02-26,75.0,76.6,74.6,75.95,63.13,143958950
2015-02-27,75.8,76.75,75.26,75.91,63.1,129979040
2015-03-02,76.38,77.45,76.1,76.2,63.34,110696420
2015-03-03,76.03,76.98,74.84,75.55,62.8,129705180
2015-03-04,75.35,75.72,72.31,72.31,60.11,117798050
2015-03-05,72.9,74.16,71.86,72.7,60.43,175857900
2015-03-06,73.08,74.11,72.58,73.25,60.89,105050160
2015-03-10,72.5,72.71,69.09,69.8,58.02,149557550
2015-03-11,69.8,71.31,68.78,70.68,58.75,149717760
2015-03-12,71.12,71.59,70.02,70.79,58.85,82959400
2015-03-13,71.0,71.3,67.81,67.87,56.42,151669320
2015-03-16,67.5,67.8,65.23,65.57,54.51,156289080
2015-03-17,66.05,66.45,63.86,64.65,53.74,183457200
2015-03-18,64.9,66.05,64.73,65.26,54.25,108223320
2015-03-19,66.5,66.88,64.45,64.9,53.95,124342050
2015-03-20,64.95,67.22,64.4,67.0,55.69,147872150
2015-03-23,67.6,67.6,64.83,65.0,54.03,131474510
2015-03-24,65.0,66.36,63.74,65.6,54.53,121944620
2015-03-25,65.85,66.15,64.31,64.8,53.87,97814600
2015-03-26,65.43,65.8,62.62,62.85,52.25,148212490
2015-03-27,63.2,63.55,60.57,61.0,50.71,157726010
2015-03-30,60.81,63.17,60.67,63.01,52.38,121585170
2015-03-31,63.0,63.4,61.92,62.88,52.27,113703370
2015-04-01,62.34,64.69,62.18,64.5,53.62,161132260
2015-04-02,64.6,66.17,64.03,65.92,54.8,138482010
2015-04-03,65.92,66.4,65.16,65.5,54.45,85588420
2015-04-06,65.65,68.99,65.57,68.99,57.35,137120690
2015-04-07,68.85,70.27,68.15,69.6,57.86,224738420
2015-04-08,69.42,69.93,68.61,69.4,57.69,124300110
2015-04-09,69.03,72.0,68.96,72.0,59.85,187982850
2015-04-10,72.15,72.45,70.23,71.5,59.44,143967740
2015-04-13,71.89,74.55,71.43,74.1,61.6,165129570
2015-04-14,74.1,74.82,72.89,74.05,61.56,135451730
2015-04-15,74.15,76.49,73.91,76.49,63.58,153846180
2015-04-16,76.97,77.51,74.85,76.5,63.59,176773010
2015-04-17,76.64,76.96,72.5,72.5,60.27,157337590
2015-04-20,72.5,74.07,71.22,73.5,61.1,157896000
2015-04-21,73.66,75.67,73.26,75.24,62.54,157633660
2015-04-22,75.2,75.33,72.63,73.9,61.43,143896300
2015-04-23,74.0,76.57,72.11,75.8,63.01,192895230
2015-04-24,75.7,77.7,74.89,75.75,62.97,155138110
2015-04-27,76.12,76.86,74.58,75.2,62.51,126319130
2015-04-28,74.8,75.75,73.9,75.7,62.93,99218180
